Date,Inside,Outside,Setpoint,Mode,Relay,Heating
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
2026-12-24 18:30:15,0.04,5.00,21.50,MANUAL,OFF,NO
